correlation,cpu_duration,gpu_duration,launch_delay
4546,2.0,0.0,5238.0
4548,6.0,0.0,5232.0
4557,4.0,3.0,5223.0
4562,4.0,0.0,5220.0
4566,1.0,0.0,5220.0
4569,4.0,7.0,5215.0
4573,1.0,0.0,5222.0
4576,2.0,6.0,5221.0
4580,1.0,0.0,5226.0
4583,3.0,7.0,5223.0
4587,1.0,0.0,5230.0
4590,3.0,6.0,5227.0
4603,4.0,4.0,5207.0
4608,5.0,0.0,5201.0
4613,5.0,0.0,5192.0
4627,5.0,0.0,5138.0
4641,6.0,5.0,5091.0
4657,5.0,5.0,4923.0
4671,6.0,5.0,4864.0
4685,4.0,5.0,4849.0
6452,991.0,12.0,0.0
6568,1397.0,2.0,0.0
6862,16.0,2.0,3.0
6865,20.0,2071.0,4.0
6888,14.0,0.0,2025.0
6900,6.0,2.0,1983.0
6915,5.0,189.0,3.0
8702,7.0,0.0,2.0
8839,23.0,6.0,0.0
8856,7.0,5.0,2.0
8873,4.0,4.0,3.0
8889,5.0,0.0,3.0
8900,4.0,1.0,3.0
8911,5.0,0.0,3.0
8922,5.0,1.0,3.0
8933,6.0,0.0,2.0
8944,3.0,0.0,3.0
8959,5.0,1.0,3.0
8970,4.0,1.0,3.0
8981,9.0,1.0,3.0
8992,4.0,1.0,3.0
9003,3.0,0.0,3.0
9014,3.0,1.0,3.0
9025,3.0,1.0,3.0
9036,21.0,0.0,0.0
9047,3.0,1.0,3.0
9058,3.0,1.0,3.0
9075,3.0,1.0,3.0
9086,2.0,1.0,3.0
9097,3.0,0.0,3.0
9108,2.0,1.0,3.0
9119,3.0,0.0,3.0
9135,7.0,1.0,2.0
9149,7.0,8.0,2.0
9163,10.0,6.0,2.0
9174,6.0,2.0,2.0
9189,5.0,14.0,3.0
9225,4.0,1.0,3.0
9231,4.0,1.0,3.0
9236,16.0,2.0,2.0
9262,4.0,0.0,3.0
9267,4.0,5.0,3.0
9281,5.0,13.0,3.0
9319,3.0,1.0,5.0
9325,3.0,1.0,3.0
9330,4.0,0.0,3.0
9356,5.0,0.0,6.0
9361,8.0,5.0,4.0
9375,5.0,24.0,4.0
9391,7.0,1.0,3.0
9422,7.0,0.0,3.0
9425,6.0,5.0,3.0
9436,4.0,1.0,3.0
9447,4.0,0.0,3.0
9458,3.0,0.0,3.0
9465,5.0,1.0,3.0
9480,3.0,-1.0,3.0
9483,5.0,5.0,3.0
9494,4.0,0.0,3.0
9505,4.0,1.0,3.0
9512,3.0,1.0,3.0
9537,5.0,4.0,3.0
9544,5.0,2.0,3.0
9561,4.0,0.0,3.0
9566,2.0,0.0,3.0
9568,1.0,0.0,4.0
9571,3.0,3.0,3.0
9574,3.0,12.0,5.0
9577,3.0,2.0,13.0
9580,3.0,2.0,12.0
9583,2.0,12.0,13.0
